clientId,id,idType,externalCost,agreementId
999,DE0001141737,ISIN,0.002,a3
999,DE0001141604,ISIN,0.002,a3
999,JP1023621G33,ISIN,0.003,a3
999,JP1051041C55,ISIN,0.003,a3
999,JP1051161DC4,ISIN,0.001,a3
999,JP1051271G37,ISIN,0.006,a3
999,JP1103121AC2,ISIN,0.006,a3
999,SG6TI7000001,ISIN,0.01,a3
999,SG7U33949433,ISIN,0.006,a3
999,SG7S29941612,ISIN,0.004,a3
999,SG7Y76964295,ISIN,0.003,a3
999,SG3260987684,ISIN,0.002,a3
999,AU2CLT260861,ISIN,0.002,a3
999,XS1045278410,ISIN,0.002,a3
999,XS1378790262,ISIN,0.002,a3
999,XS1122061242,ISIN,0.002,a3
999,GB00B1VWPC84,ISIN,0.002,a3
999,GB00B4YRFP41,ISIN,0.002,a3
999,FR0012634558,ISIN,0.002,a3
999,FR0013101466,ISIN,0.002,a3
999,FR0120746609,ISIN,0.002,a3
999,FR0000570905,ISIN,0.002,a3
999,FR0000570947,ISIN,0.002,a3
999,US50064FAJ30,ISIN,0.002,a3
999,XS0277265269,ISIN,0.002,a3
999,US38141G1040,ISIN,0.001,a3
999,US46625H1005,ISIN,0.001,a3
999,US3696041033,ISIN,0.001,a3
999,US30231G1022,ISIN,0.001,a3
999,US4592001014,ISIN,0.005,a3
999,US5801351017,ISIN,0.005,a3
999,US1912161007,ISIN,0.005,a3
999,US0970231058,ISIN,0.005,a3
999,US88579Y1010,ISIN,0.001,a3
999,US7427181091,ISIN,0.001,a3
999,AUD,CASH,0.018,a3
999,HKD,CASH,0.01,a3
999,CAD,CASH,0.01,a3
,,,,
999,US912796JE09,ISIN,0.004,a4
999,DE0001137461,ISIN,0.002,a4
999,DE0001104636,ISIN,0.002,a4
999,DE0001141737,ISIN,0.002,a4
999,DE0001141604,ISIN,0.002,a4
999,JP1023621G33,ISIN,0.003,a4
999,JP1051041C55,ISIN,0.003,a4
999,JP1051161DC4,ISIN,0.003,a4
999,JP1051271G37,ISIN,0.003,a4
999,JP1103121AC2,ISIN,0.003,a4
999,SG6TI7000001,ISIN,0.002,a4
999,SG7U33949433,ISIN,0.002,a4
999,SG7S29941612,ISIN,0.002,a4
999,SG7Y76964295,ISIN,0.002,a4
999,SG3260987684,ISIN,0.002,a4
999,AU2CLT260861,ISIN,0.002,a4
999,XS1045278410,ISIN,0.002,a4
999,XS1378790262,ISIN,0.002,a4
999,XS1122061242,ISIN,0.002,a4
999,GB00B1VWPC84,ISIN,0.001,a4
999,GB00B4YRFP41,ISIN,0.006,a4
999,FR0012634558,ISIN,0.006,a4
999,FR0013101466,ISIN,0.01,a4
999,FR0120746609,ISIN,0.006,a4
999,FR0000570905,ISIN,0.004,a4
999,FR0000570947,ISIN,0.003,a4
999,US50064FAJ30,ISIN,0.002,a4
999,XS0277265269,ISIN,0.002,a4
999,US38141G1040,ISIN,0.001,a4
999,US46625H1005,ISIN,0.001,a4
999,US3696041033,ISIN,0.001,a4
999,US30231G1022,ISIN,0.001,a4
999,US4592001014,ISIN,0.005,a4
999,US5801351017,ISIN,0.005,a4
999,US1912161007,ISIN,0.005,a4
999,US0970231058,ISIN,0.005,a4
999,US88579Y1010,ISIN,0.001,a4
999,US7427181091,ISIN,0.001,a4
999,AUD,CASH,0.018,a4
999,HKD,CASH,0.01,a4
999,CAD,CASH,0.01,a4
,,,,
999,US912796JE09,ISIN,0.004,a5
999,DE0001137461,ISIN,0.002,a5
999,DE0001104636,ISIN,0.002,a5
999,DE0001141737,ISIN,0.002,a5
999,DE0001141604,ISIN,0.002,a5
999,JP1023621G33,ISIN,0.003,a5
999,JP1051041C55,ISIN,0.003,a5
999,JP1051161DC4,ISIN,0.003,a5
999,JP1051271G37,ISIN,0.003,a5
999,JP1103121AC2,ISIN,0.003,a5
999,SG6TI7000001,ISIN,0.002,a5
999,SG7U33949433,ISIN,0.002,a5
999,SG7S29941612,ISIN,0.002,a5
999,SG7Y76964295,ISIN,0.002,a5
999,SG3260987684,ISIN,0.002,a5
999,AU2CLT260861,ISIN,0.002,a5
999,XS1045278410,ISIN,0.002,a5
999,XS1378790262,ISIN,0.002,a5
999,XS1122061242,ISIN,0.002,a5
999,GB00B1VWPC84,ISIN,0.002,a5
999,GB00B4YRFP41,ISIN,0.002,a5
999,FR0012634558,ISIN,0.002,a5
999,FR0013101466,ISIN,0.002,a5
999,FR0120746609,ISIN,0.002,a5
999,FR0000570905,ISIN,0.002,a5
999,FR0000570947,ISIN,0.001,a5
999,US50064FAJ30,ISIN,0.006,a5
999,XS0277265269,ISIN,0.006,a5
999,US38141G1040,ISIN,0.01,a5
999,US46625H1005,ISIN,0.006,a5
999,US3696041033,ISIN,0.004,a5
999,US30231G1022,ISIN,0.003,a5
999,US4592001014,ISIN,0.005,a5
999,US5801351017,ISIN,0.005,a5
999,US1912161007,ISIN,0.005,a5
999,US0970231058,ISIN,0.005,a5
999,US88579Y1010,ISIN,0.001,a5
999,US7427181091,ISIN,0.001,a5
999,SGD,CASH,0.006,a5
999,JPY,CASH,0.006,a5
999,USD,CASH,0.01,a5
999,GBP,CASH,0.006,a5
999,EUR,CASH,0.004,a5
999,CNY,CASH,0.006,a5
999,AUD,CASH,0.018,a5
999,HKD,CASH,0.01,a5
999,CAD,CASH,0.01,a5
,,,,
999,US912796JE09,ISIN,0.004,a11
999,DE0001137461,ISIN,0.002,a11
999,DE0001104636,ISIN,0.002,a11
999,DE0001141737,ISIN,0.002,a11
999,DE0001141604,ISIN,0.002,a11
999,JP1023621G33,ISIN,0.003,a11
999,JP1051041C55,ISIN,0.003,a11
999,JP1051161DC4,ISIN,0.003,a11
999,JP1051271G37,ISIN,0.003,a11
999,JP1103121AC2,ISIN,0.003,a11
999,SG6TI7000001,ISIN,0.002,a11
999,SG7U33949433,ISIN,0.002,a11
999,SG7S29941612,ISIN,0.002,a11
999,SG7Y76964295,ISIN,0.004,a11
999,SG3260987684,ISIN,0.002,a11
999,AU2CLT260861,ISIN,0.002,a11
999,XS1045278410,ISIN,0.002,a11
999,XS1378790262,ISIN,0.002,a11
999,XS1122061242,ISIN,0.003,a11
999,GB00B1VWPC84,ISIN,0.003,a11
999,GB00B4YRFP41,ISIN,0.003,a11
999,FR0012634558,ISIN,0.002,a11
999,FR0013101466,ISIN,0.002,a11
999,FR0120746609,ISIN,0.002,a11
999,FR0000570905,ISIN,0.002,a11
999,FR0000570947,ISIN,0.002,a11
999,US50064FAJ30,ISIN,0.002,a11
999,XS0277265269,ISIN,0.002,a11
999,US38141G1040,ISIN,0.001,a11
999,US46625H1005,ISIN,0.001,a11
999,US3696041033,ISIN,0.001,a11
999,US30231G1022,ISIN,0.001,a11
999,US4592001014,ISIN,0.005,a11
999,US5801351017,ISIN,0.005,a11
999,US1912161007,ISIN,0.005,a11
999,US0970231058,ISIN,0.005,a11
999,US88579Y1010,ISIN,0.001,a11
999,US7427181091,ISIN,0.001,a11
999,SGD,CASH,0.006,a11
999,JPY,CASH,0.006,a11
999,USD,CASH,0.01,a11
999,GBP,CASH,0.006,a11
999,EUR,CASH,0.004,a11
999,CNY,CASH,0.006,a11
999,AUD,CASH,0.018,a11
999,HKD,CASH,0.01,a11
999,CAD,CASH,0.01,a11
,,,,
999,US912796JE09,ISIN,0.004,a12
999,DE0001137461,ISIN,0.002,a12
999,DE0001104636,ISIN,0.002,a12
999,DE0001141737,ISIN,0.002,a12
999,DE0001141604,ISIN,0.002,a12
999,JP1023621G33,ISIN,0.003,a12
999,JP1051041C55,ISIN,0.003,a12
999,JP1051161DC4,ISIN,0.003,a12
999,JP1051271G37,ISIN,0.004,a12
999,JP1103121AC2,ISIN,0.002,a12
999,SG6TI7000001,ISIN,0.002,a12
999,SG7U33949433,ISIN,0.002,a12
999,SG7S29941612,ISIN,0.002,a12
999,SG7Y76964295,ISIN,0.003,a12
999,SG3260987684,ISIN,0.003,a12
999,AU2CLT260861,ISIN,0.003,a12
999,XS1045278410,ISIN,0.002,a12
999,XS1378790262,ISIN,0.002,a12
999,XS1122061242,ISIN,0.002,a12
999,GB00B1VWPC84,ISIN,0.002,a12
999,GB00B4YRFP41,ISIN,0.002,a12
999,FR0012634558,ISIN,0.002,a12
999,FR0013101466,ISIN,0.002,a12
999,FR0120746609,ISIN,0.002,a12
999,FR0000570905,ISIN,0.002,a12
999,FR0000570947,ISIN,0.002,a12
999,US50064FAJ30,ISIN,0.002,a12
999,XS0277265269,ISIN,0.002,a12
999,US38141G1040,ISIN,0.001,a12
999,US46625H1005,ISIN,0.001,a12
999,US3696041033,ISIN,0.001,a12
999,US30231G1022,ISIN,0.001,a12
999,US4592001014,ISIN,0.005,a12
999,US5801351017,ISIN,0.005,a12
999,US1912161007,ISIN,0.005,a12
999,US0970231058,ISIN,0.005,a12
999,US88579Y1010,ISIN,0.001,a12
999,US7427181091,ISIN,0.001,a12
999,SGD,CASH,0.006,a12
999,JPY,CASH,0.006,a12
999,USD,CASH,0.01,a12
999,GBP,CASH,0.006,a12
999,EUR,CASH,0.004,a12
999,CNY,CASH,0.006,a12
999,AUD,CASH,0.018,a12
999,HKD,CASH,0.01,a12
999,CAD,CASH,0.01,a12
,,,,
999,US912796JE09,ISIN,0.004,a13
999,DE0001137461,ISIN,0.002,a13
999,DE0001104636,ISIN,0.002,a13
999,DE0001141737,ISIN,0.002,a13
999,DE0001141604,ISIN,0.002,a13
999,JP1023621G33,ISIN,0.003,a13
999,JP1051041C55,ISIN,0.003,a13
999,JP1051161DC4,ISIN,0.003,a13
999,JP1051271G37,ISIN,0.003,a13
999,JP1103121AC2,ISIN,0.003,a13
999,SG6TI7000001,ISIN,0.002,a13
999,SG7U33949433,ISIN,0.002,a13
999,SG7S29941612,ISIN,0.002,a13
999,SG7Y76964295,ISIN,0.002,a13
999,SG3260987684,ISIN,0.002,a13
999,AU2CLT260861,ISIN,0.002,a13
999,XS1045278410,ISIN,0.002,a13
999,XS1378790262,ISIN,0.002,a13
999,XS1122061242,ISIN,0.002,a13
999,GB00B1VWPC84,ISIN,0.002,a13
999,GB00B4YRFP41,ISIN,0.002,a13
999,FR0012634558,ISIN,0.002,a13
999,FR0013101466,ISIN,0.002,a13
999,FR0120746609,ISIN,0.002,a13
999,FR0000570905,ISIN,0.002,a13
999,FR0000570947,ISIN,0.002,a13
999,US50064FAJ30,ISIN,0.002,a13
999,XS0277265269,ISIN,0.002,a13
999,US38141G1040,ISIN,0.001,a13
999,US46625H1005,ISIN,0.001,a13
999,US3696041033,ISIN,0.001,a13
999,US30231G1022,ISIN,0.001,a13
999,US4592001014,ISIN,0.006,a13
999,US5801351017,ISIN,0.006,a13
999,US1912161007,ISIN,0.005,a13
999,US0970231058,ISIN,0.005,a13
999,US88579Y1010,ISIN,0.001,a13
999,US7427181091,ISIN,0.001,a13
999,AUD,CASH,0.018,a13
999,HKD,CASH,0.01,a13
999,CAD,CASH,0.01,a13
,,,,
999,US912796JE09,ISIN,0.004,a14
999,DE0001137461,ISIN,0.002,a14
999,DE0001104636,ISIN,0.002,a14
999,DE0001141737,ISIN,0.002,a14
999,DE0001141604,ISIN,0.002,a14
999,JP1023621G33,ISIN,0.003,a14
999,JP1051041C55,ISIN,0.003,a14
999,JP1051161DC4,ISIN,0.003,a14
999,JP1051271G37,ISIN,0.003,a14
999,JP1103121AC2,ISIN,0.003,a14
999,SG6TI7000001,ISIN,0.002,a14
999,SG7U33949433,ISIN,0.002,a14
999,SG7S29941612,ISIN,0.002,a14
999,SG7Y76964295,ISIN,0.002,a14
999,SG3260987684,ISIN,0.002,a14
999,AU2CLT260861,ISIN,0.002,a14
999,XS1045278410,ISIN,0.002,a14
999,XS1378790262,ISIN,0.002,a14
999,XS1122061242,ISIN,0.002,a14
999,GB00B1VWPC84,ISIN,0.002,a14
999,GB00B4YRFP41,ISIN,0.002,a14
999,FR0012634558,ISIN,0.002,a14
999,FR0013101466,ISIN,0.002,a14
999,FR0120746609,ISIN,0.002,a14
999,FR0000570905,ISIN,0.002,a14
999,FR0000570947,ISIN,0.002,a14
999,US50064FAJ30,ISIN,0.002,a14
999,XS0277265269,ISIN,0.002,a14
999,US38141G1040,ISIN,0.001,a14
999,US46625H1005,ISIN,0.001,a14
999,US3696041033,ISIN,0.001,a14
999,US30231G1022,ISIN,0.001,a14
999,US4592001014,ISIN,0.005,a14
999,US5801351017,ISIN,0.005,a14
999,US1912161007,ISIN,0.005,a14
999,US0970231058,ISIN,0.005,a14
999,US88579Y1010,ISIN,0.001,a14
999,US7427181091,ISIN,0.001,a14
999,AUD,CASH,0.018,a14
999,HKD,CASH,0.01,a14
999,CAD,CASH,0.01,a14
